PHASE 3: WORKFLOW EXTRACTION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Step Number,Step Name,Step Type,Purpose,Fields Affected,Conditions,Redesign Difficulty,Status,Cloud Service Equivalent,Implementation Notes,Anomaly Flags
1,Process,process,"This 'process' step ensures that content is moved to an archive state without overwriting existing archived versions, maintaining a clean repository and preserving archive history.",com.securian.wcm.commons.core.workflow.process.impl.InvalidateAdvisorXFs,,,,,,
2,Archive Asset - No overwrite,process,"This 'process' step ensures that content is moved to an archive state, overwriting any existing archived versions, to maintain an updated archive.",com.securian.wcm.commons.core.workflow.process.impl.ArchiveAsset,,,,,,
3,Securian Log Process,process,This 'process' step logs relevant information during the workflow execution for Securian-specific tracking and auditing.,com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
4,Archive Asset - Overwrite if exists,process,This process step logs relevant information during the workflow execution for Securian-specific tracking and auditing.,com.securian.wcm.commons.core.workflow.process.impl.ArchiveAsset,overwriteArchiveAsset=true,,,,,
5,Securian Log Process,process,This step acts as a conditional check to verify the status or availability of Getty-sourced metadata or assets.,com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
6,remove APIClient,process,This process step automatically synchronizes and updates asset metadata with information retrieved from Getty Images sources.,com.securian.wcm.commons.core.workflow.process.impl.ClearMetadataField,metadataFieldToRemove=wcmApiClient,,,,,
7,Archive Asset - No overwrite,process,This process step assigns specific names to SmartCrop profiles within the assets metadata for consistent publishing.,com.securian.wcm.commons.core.workflow.process.impl.ArchiveAsset,,,,,,
8,Securian Log Process,process,This step acts as a checkpoint to determine if additional metadata refinements or process steps are required.,com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
9,Delegate to Request for Activation workflow,process,This process step utilizes FFmpeg to create static thumbnail images for video files.,com.adobe.acs.commons.workflow.process.impl.WorkflowDelegationStep,"workflowModelProperty=foo

defaultWorkflowModel=/var/workflow/models/request_for_activation

terminateWorkflowOnDelegation=false",,,,,
10,Publish Asset to Brand Portal,process,"This 'process' step indicates that the request to delete the asset has been approved, likely triggering subsequent deletion actions.",com.adobe.acs.commons.workflow.process.impl.BrandPortalSyncProcess,ACTIVATE,,,,,
